id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
4699;2A004;Appartement;80,99;80;3
4700;2A004;Appartement;83,23;79;3
4701;2A004;Appartement;67,01;62;2
4702;2A004;Appartement;68,96;72;3
4703;2A004;Appartement;49,11;49;2
4704;2A032;Appartement;32,12;32;2
4705;2A249;Appartement;61,8;60;2
4706;2A004;Appartement;31,79;32;1
4707;2A139;Appartement;52,55;42;2
4708;2A004;Appartement;106,37;120;5
4709;2A249;Appartement;23,34;24;1
4710;2A247;Appartement;29,95;30;2
4711;2A247;Appartement;20,97;15;1
4712;2A041;Appartement;47,22;45;2
4713;2A004;Appartement;15,96;24;1
4714;2A004;Appartement;71,4;78;3
4715;2A004;Appartement;97,69;100;4
4716;2A032;Appartement;51,48;60;2
4717;2A212;Appartement;16,98;36;1
4718;2A348;Appartement;93,07;95;4
4719;2A247;Appartement;46,75;59;3
4720;2A090;Appartement;58,35;64;2
4721;2A139;Appartement;71,84;65;3
4722;2A098;Maison;95,51;100;4
4723;2A249;Appartement;63,54;64;3
4724;2A249;Appartement;30,06;29;2
4725;2A004;Appartement;31,54;30;1
4726;2A004;Appartement;80,8;75;3
4727;2A119;Appartement;22,43;28;1
4728;2A004;Appartement;42,02;40;2
4729;2A004;Appartement;78,2;84;3
4730;2A103;Maison;98,44;100;3
4731;2A004;Appartement;65;65;3
4732;2A004;Maison;86,42;86;4
4733;2A004;Appartement;14,37;18;1
4734;2A004;Appartement;54,75;55;2
4735;2A004;Appartement;73,37;70;3
4736;2A004;Appartement;86,7;90;4
4737;2A312;Appartement;38,01;48;1
4738;2A004;Appartement;57,55;58;3
4739;2A004;Appartement;47,47;50;2
4740;2A288;Maison;91,91;70;3
4741;2A004;Appartement;56,01;58;2
4742;2A004;Appartement;81;85;4
4743;2A004;Appartement;43,02;43;2
4744;2A004;Appartement;96,99;94;4
4745;2A247;Maison;93,21;93;4
4746;2A004;Appartement;100,9;110;1
4747;2A004;Appartement;53,91;50;2
4748;2A090;Appartement;66,85;24;1
4749;2A041;Appartement;39,15;39;2
4750;2A130;Appartement;56,64;42;2
4751;2A247;Maison;186,33;207;7
4752;2A004;Appartement;41,48;50;2
4753;2A004;Appartement;76,41;61;3
4754;2A004;Appartement;98,93;99;4
4755;2A130;Appartement;47,87;52;3
4756;2A008;Appartement;55,09;55;4
4757;2A004;Appartement;72,83;73;3
4758;2A139;Appartement;73,65;76;3
4759;2A004;Appartement;77,85;80;4
4760;2A349;Appartement;44;64;3
4761;2A004;Appartement;66,79;66;3
4762;2A247;Appartement;47,75;48;3
4763;2A004;Appartement;44,24;44;2
4764;2A130;Appartement;30,11;30;1
4765;2A004;Appartement;113,09;114;4
4766;2A004;Appartement;134,03;140;4
4767;2A004;Appartement;35,15;34;2
4768;2A004;Appartement;91,34;90;4
4769;2A247;Appartement;47,34;48;2
4770;2A269;Appartement;54,45;52;2
4771;2A362;Maison;34,34;32;2
4772;2A362;Maison;33,46;38;2
4773;2A004;Appartement;74,1;76;3
4774;2B020;Appartement;21,68;22;1
4775;2B134;Appartement;39,61;88;4
4776;2B087;Appartement;104;89;4
4777;2B185;Maison;59,1;49;3
4778;30133;Appartement;26,4;27;2
4779;30133;Appartement;28,15;27;2
4780;30133;Appartement;38,29;38;1
4781;30003;Appartement;32,29;50;2
4782;30189;Appartement;60,07;60;3
4783;30189;Appartement;65,24;65;3
4784;30189;Appartement;36,29;40;1
4785;30062;Appartement;27,42;28;2
4786;30189;Appartement;76,95;79;4
4787;30106;Maison;82,11;84;4
4788;30189;Appartement;46,86;47;2
4789;30341;Appartement;44,02;43;2
4790;30133;Maison;83,4;83;4
4791;30133;Appartement;35,75;35;2
4792;30189;Appartement;131,37;127;5
4793;30189;Appartement;50,53;49;3
4794;30189;Appartement;67,24;71;4
4795;30189;Appartement;14,85;16;1
4796;30060;Maison;97,76;68;4
4797;30189;Appartement;77,2;80;4
4798;30169;Appartement;90,59;74;4
4799;30133;Appartement;20;19;1
4800;30082;Maison;81,36;82;4
4801;30062;Appartement;46,87;51;3
4802;30062;Appartement;27,43;28;2
4803;30189;Appartement;42,47;43;2
4804;30047;Appartement;120,25;90;4
4805;30125;Maison;76,66;80;4
4806;30189;Appartement;57,37;59;2
4807;30003;Appartement;88,85;75;3
4808;30321;Appartement;42,3;48;2
4809;30133;Appartement;89,79;102;4
4810;30133;Appartement;90,22;60;3
4811;30231;Appartement;65,01;63;3
4812;30133;Appartement;37,06;36;2
4813;30003;Appartement;123,69;110;4
4814;30189;Appartement;19,36;21;1
